baseTokenName,baseTokenSymbol
baby tremp,babytremp
baby nubcat,bnub
babysith2,bbsith2
badluckbaby,blby
badonkadonk inu,badonk
baked pink cat,bpcat
balin bank,balin
banana,banana
bananacat (),bcat
banx,banx
barbapapa,barbapapa
barron tremp,barrtremp
barron trump,trump son
bat frog,batfrog
batfrog,batfrog
bear cat,bear
beast meme,xbm
bebewifhat,bwh
beef,beef
beer,beer
beluga cat,beluga
ben the dog,bendog
berf,berf
berylbit,brb
better call saul goodman,saul
biba coin,biba
biden's dog,rax
bidenwifhat,biden
big barry,$barry
big chungus,chung
big rik sucks dik,brsd
bigegg,bigegg
bitiboy crypto,bitiboy
bitspawn token,spwn
black people don't recycle,rec
black rock,rock
black transgender cock,btc
blackberry,black
blackcroc,blackcroc
blazestake staked sol (bsol),bsol
blekrok,$blek
blinkyinkypinkyclydeinu,$bipci
blockmate,mate
blockasset,block
blockbuster,$block
blockchain operating system,sbos
bloe jiden,bj
blubird,blu
bludemir potin,potin
blueberry cat,blu
blueprint cat,bcat
boba,boba
boba oppa,bobaoppa
bobba oppa wif hat,bwif
bodacious,bode
bodega cat,bcat
bodge,bodge
bonk,bonk
bonk 2.0,bonk2.0
bonk's sister,bink
bonziwifhat,bonzi
booby,booby
book of dex,$dex
book of sol,bos
book of whales,bowe
bookofderp,bode
bork,bork
boss baby,bb
bot of meme,bom
bou's life,bou
bozo collective,bozo
brett,brett
brett simpson,brett
broke in a rich world,cry
bruv,bruv
buba,buba
buckethatcat,bhcat
bull gayts,bullgayts
bully,bully
bum money,bum
buttcoin,butt
byte (wormhole),byte
canye,canye
capybara,capy
cash,cash
cat pepe,catepe
cat pokémon on sol,meowth
catgpt,catgpt
catman,catman
cato,cato
catwifhat,cif
catwifnuggets,cwifnug
catzilla,catz
ceiling cat,ceicat
cexy,cexy
chameleo,leo
chameleo ,leo
charizard,charizard
chef cat,cfc
chex,chex
china cat,chink
chloe,chloe
chonky,chonky
chonky sol,chonky
cock,cock
coco,coco
coo coo mf ,coo
cornbase,cornbase
costco churro,churro
costco pizza,pizza
cr7,cr7
crazy pepe solana,$crazypepe
crocdog,crocdog
crown token,crown
crypto bible,bible
cryptodynos,dyn
culo,culo
cum,cum
cum jong un,cumjong
cum ronaldo,cumr
cumala harris,cum
cumjongun,cumjongun
cupee,cupee
czolana,czol
cabybara - $capy,$capy
cakecash,cakec
calcium pepe on solana,capepe
camel,🐫
capo was right,cwr
capocrypto,capocrypto
capychonk,capy
carl johnsol,cj
carol-sam bankman fried,csbf
carolien elison,sbfexgf
caroline ellison,carol
caseoh,caseoh
cat called albert,albert
cat commandments meme,catco10
cat did 9/11,cat911
cat intelligence agency,cia
cat marley,catmarley
cat soldier,cats
cat taco,cataco
cat wif cup,catcup
cat wif gloves,catgloves
cat wif knife,cwif
cat wif pants,catpants
cat is fine,fine
cat wif,catwif
catcoin,catcoin
catwifboots,catwif👢
catwifdog,cwif
catwifhat ,catwif
catwifsword,puss
catgirl,catgirl
catoshi,cat
catpaw,paw
cats of sol,cos
cats on drugs,cod
cecil the lion,cecil
chachacoin,ccc
chad,chad
chad coin,chad
chad hatter,chatter
chadimir putni,putni
charitydao,chd
chedda,chedda
cheems,cheems
cheese!,daood
chiba inu,chiba
chickenandegg,🐣
chillchip panda,ccpanda
chipi cat on sol,chipicat
chirpy,chirpy
christ is king,christ
christiskingarmy,cika
chucknorris,chucknorri
cirque du sol,circus
cirque du sol🎪🤹,circus
climatecoin,ccoin
coby the cat,coby
cody,cody
coffin dance,coffin
coin radar,radar
coincraft bot,cc
colana,col
communist party of india,cpi
compass sol,compasssol
cone of shame,cone
conk,conk
coroline smellison,carol
costanza coin,cstnza
costco,costco
costco cheese pizza,pizza
costco hot dog,cost
coughing cat,ccat
courage the cowardly dog,courage
cowboy cat,cowboy
crack,crack
crazy wolf,crazywolf
crazybunny,crazybunny
cream,cream
crescitaly,crs
crowny token,crwny
crying cat,crycat
cryptidcoin,crypt
crypto zombie,cz
cthulhucredits,cthulh
cute cat,$meow
cute cat parade,ccp
d2,d2x
daffer,daffer
dankmama,dankmama
dapp,deploy
dawg,dawg
dedo diddy,diddy
degen,degen
degens balls,balls
democat,democat
dev live on twitch ,livetwitch
dewn,dewn
dex message,dex
dgen token,dgen
diamond the cat coin,dmtc
dickachu,dickachu
diddy the black epstein,nodiddy
dino wif,dinowif
djt coin,djt
dlerf,dlerf
dodo,dodo
dog wif 2.0,dogwif
doge,doge
doggo,doggo
doki,doki
doodoo,doodoo
dork,$dork
drunk,$drunk
ducki,ducki
ducky,ducky
duge,duge
dumb,dumb
dupy,dupy
dust protocol,dust
dabi the dev,dev
danda,$danda
dark protocol,dark
dark putni,dark putni
dark trump,tramp
dark shrek,dark shrek
darth klaus,klaus
"dat bridge be closed, yo",$bscott
datorai,dator
daumenfrosch,$daumen
david moggins,moggins
dawg in a degen world,dawg 
dawkoins,daw
dayjen janiels elbeaux,elbeaux
defi land,dfl
deplan,dpln
dead bear inc,scum
deadcoin,$dead
decimated,dio
degenpepe,degenpepe
degenerate trader floki,dtf
deniro,dia
derpepe,derpepe
devwifmask,dwm
devour,dpay
dexterdividends,dexter
dicaprio,cheers
dial up internet,aol
dick cat,dickcat
diddy on sol,pdiddy
diddygotraid,$diddyraid
dino,dino
distractedtom,meme
dither,dith
dobby,dobby
dog wif birthday,riley
dogpound,bark
dogwifbirthday,riley
dogwifnotail,ntail
dogwifparasol,parsol
doge lifts,dyel
doge marley,marley
doge on solana,soge
doge shrek,dogeshrek
dogewifhat,dwif
dogearm,doge
dogecoin,doge
dogecoin20,doge20
dogetothemoon,doged
dogs of elon,doelon
dogs of sol,dos
doitformemes,meme5
don lemoon,lemoon
donuld tremp,tremp
doodoo coin,doodoo
dr. pepe,drpepe
dragon,mushu
dragonhoard,dgnhd
dragonpaw,dpaw
drainbot,drain
dramatic chipmunk,chpmk
dream meme team,dmt
driver cat wif hat,dcwh
drop the soap sam,soap
dscrd,dscrd
du kwuan,dukwuan
dubdoge,dubdoge
duko,duko
dumbledoreducats,dumble
dumpling cat,dumpling
dwayne kirby,dkirby
eddie,eddie
edge fund,edgefund
eel,eel
egg,egg
egirl,egirl
elburt ijnstein,ijnstein
elmnt,elmnt
elon wif hat,elon
emme,emme
erc20,erc20
esther bunny,esther
etc,etc
eagle,eagle
easter,easter
eatcat,eth
eggys games,egg
ekonmuts,ekonmuts
elon ai,elonai
elon meowsk,meowsk
elon tusk,etk
elusk mon,eluskmon
epep,epep
epicdogequest,edq
espressocoin,esp
evergrowsol,egs
ewokeconomy,ewokec
fart,fart
fat cat,fatcat
fedo diddy,fiddy
files,files
fish,fish
flappi,flappi
floyd wif hat,floydwif
fredi kroogar,fredi
freetoken,ftoken
frudo boggins,lotr 
fryday,fryday
ftx,ftx
ftx9000,ftx9000
ftxrebirth,ftx
fuck sbf,fsbf
face,(-_-)
family,fam
famous fox federation,foxy
fart cat,fart
fat upper pussy area,fupa
father of cbdc,powell
felix the cat,felix
female body investigator,fbi
ferrisfunds,ferris
figurewifhat,fwh
financesai,fncs
flaco the owl,flaco
flamingo inu,pink
flappy bird,flappy
flaundy,flaundy
flock,flock
fluffyfinance,fluff
fortehculture,ftc
fox in a cats world,mauwg
franklin wif facial hair,hairy
freak out,freak
frenk degawd,degod
frenzy,frenzy
frog cat,fc
frog wif hat,frowif
fronk,fronk
frosty the bear ,frosty
fucksnoopy,fucksnoopy
fuckyoumoney,fym
fudex,fudex
gad fo esmeme,$gad
gamestop 2.0,gme2.0
gangsterz,gang
gape le gorilla,gape
gay,gay
gaze,gaze
gb spl token 3,gb3
gewtthegoat,gewt
gh0st,gh0st
ghozalee,ghozalee
ghozaluwifhat,ghozalu
gib,gib
gigachad,giga
glo starter,glst
gloop,gloop
gm,gm
gmool,gmool
gmt,gmt
goat,goat
god of meme,godme
goldenpuppy,$goldpup
gorilla on solana,gori
grizzly,grizzly
grokai,grokai
grumpy,grumpy
gst,gst
guinea pig,guineapig
gummi bear,gummi
gyattt,gyattt
gaimin token (wormhole),gmrx
galacticbeans,gbean
galaxygem,gemx
gambling gorillas,gg
gambol,gambol
gamestop,gme
garf,garf
gari,gari
gatsby,gatsby
gay monkey on sol,gaymonk
gem finder,finder
generational web wealth,web wealth
genki cats,gencat
genopets,gene
gerfeld,feld
gerfeld ,feld
gery gaysler,gaysler
gewt the goat,gewt
ghostbustergains,ghostb
giraffewifhat,gwfh
glimmergrove,glmg
gnomeland,gnome
godzilla,zilla
gold,gold
gold standard,gold
golden nugget$,nuggs
googly cat,googly
gotcha!,gotch
gourmettoken,gumy
green dildo queen,texass
green fn,fn
greenhash,ghs
greg,greg
gringroove,grin
grinch stole sol,grinch
grok 1.5,grok1.5
grok night fury,$gnf
grok the homeless,grok
grokharryelonshib69inu,shiba
grow financial,grow
grumpy capy,capy
guacamole,guac
guga,guga
gunging cat,gunging
haha,haha
hahico,hahico
halpert,halpert
hami,hami
hammy ,solame
harambe,harambe
hecklefish,hecklefish
heisen,heisen
heti,heti
history of pepe,$hop
hmm,hmm
honey,honey
honky kong,kong
hpos10i,hpos10i
huh?,huh❓
hunt,hunt
hydraulic press coin,hydraulic
haa haa,haa haa
hachiko,hachi
hairy putter,hairy
hall of retards,hor
hampterfi,hmtr
hamsterwifhat,hwh
handsome pepe,peperizz
happybd,happybd
harrypotterobamasonic10inu,bitcoin
hehe,hehe
hedge usd,ush
heeeheee,heehee
helium mobile,mobile
helium network token,hnt
himar inu,himar
hindu wif dot,polkadot
hive game token,hgt
homecoin,home
homie,homie
honeyland,hxd
howdy,howdy
hulkhedge,hulkhe
humping cat,hat
hunter boden,huntboden
hypehound token,hype
hyperhop coin,hhc
i choose gay everytime!,pdiddy
i choose jail everytime,sbf
i choose rich everytime!,nick
i got lumbago,lumbago
i want eat all meme coin,popcat
i'm so gay,gay
ice,🥶
indimore,imr
iq50,iq50
ice spice,ice
icy the seal,icy
infinity,inf
internal retard service,irs
inversebrah,$shid
jayson tatum token,tatum
jerry,jerry
jesus on sol,jesus
jinxcat,jinxcat
jito,jto
jizz bezos,jizz
jizzus christ,jizzus
joe boden,$boden
john mcafee,mcafee
jpool staked sol,jsol
jaff balzos,jbs
jake the dog,jake
jakewifsol,$jws
jedi cats ,jedi
jeets,jeets
jeke da dog,jeke
jersteen truhdoh,truhdoh
jesse ponkman,jesse
jew pepe,jewpepe
jews did 911 ,jews 
jif bezus,amazon
jiffpom,jiffpom
jito staked sol,jitosol
jizzlord,jizzlord
joe cartoon coin,joecoin
joebodendolandtrempberikobema,wagmi
john mogafee ,moggd
jojo the monkey,jojo
jokeai,jokeai
jujutsu catsen,catsen
jup 2.0,jup2
jupiter,jup
jupiter perps lp,jlp
jurry,jurry
just an egg,egg
just in! on solana,just in
just kitten,jk
justin beaver,beaver
k-pop,kpop
kabosu,bosu
kaka,kaka
kakapo coin,kak
kangu,kangu
kat coin,kat
kate coin,kat
keiko,keiko
kidsol,kidsol
kin,kin
kingkong,kong
kitti token,kitti
knob$,knob
koala ai,koko
kobe,kobe
kai the kappa,kappa
kamala horris,kama
kanye's gator,yator
karate cat,krct
kat wifout legs,$kat
kawaii on solana,kawaii
kawaii on solana ,kawaii 
keep tiktok,tok
kektain soylana,kek
kencheken,ken
kendrek lemer,lemer
kendu ,keninu
kenya,kenya
kermit,kermit
kevin g,keving
keyboard cat,kcat
killer bean,bean
king shiba,kingshib
king slerf,kingslerf
kishu inu,kishu
kitten haimer,khai
kitty kash,kash
klausen art,kart
kovin segnocchi,kovin
kowalski,kow
laughtercoin,laught
let him run,gump
locked pepe,lpc
lol,lol
lolana,😂
loopy,loopy
lopunny,lopunny
lucky cat,luca
lurry,lurry
lad wif hat,$lif
ladyf,ladyf
laika,laika
larry fink,fink
larryfink,blackcock
layer1ai,l1ai
lazyfrog,lf
lebron,lebron
left curve big dick,lcbd
lehman brothers,leh
lenin cat,lecat
leonardo dicaprio,dicaprio
leonardu dinegro,leonardu
lickcat,lick
lido staked sol,stsol
ligma node,ligma
likeaboss,lab
lilliam pumpernickel,pumper
loaf cat,loafcat
"lol,no",haha
lorm the worm,l
loro,loro
lowq,lowq
lurry pink,$blackrock
madlad,mad
maga (wormhole),trump
maga vp (wormhole),mvp
magaiba,magaiba
matzy,matzy
max the goat,mtg
mc devvo,devvo
meme mafia,gangster
memebean,memebean
meta,meta
mev ai,mevai
mew wif hat,mwif
moggo coin,moggo
momo 2.0,momo
money bot,moneybot
moon clouds,moon
moongoose,$moong
mr chedda,chedda
mumu,mumu
mutant,mutant
mxm,mxm
my hero,lebron
machi big brother's dog,bobaoppa
magic internet cat,mic
magic internet money,mim
magicdragon,mdragon
make america pray again,mapa
"man, i love frogs",milf
manoruka,manoruka
marinade staked sol (msol),msol
mario,mario
mario's asshole,culo
marvinonsol,marvin
masta yuda,yuda
matrix inu,matrix
maya the bee,maya
mcdonalds,mcds
mcgrigur,mcgrigur
meaftercoffee,caffe
meatspin ai,meatspinai
mecrosuft,meft
media network,media
medusa gorgon,gorgon
megapix,mpix
melon cat,meloncat
melon dog,melon
meme central bank,mcb
memecoindaoai,memes
memes millionaires,memi
meow,meow
meow of meme,$meme
meow the cat,meowcat
meowdonalds,mccat
meowjak,meowjak
meowmint,memi
mercurial,mer
meseekingpeace,zen
metaplex token,mplx
metrying,meme1
mett demon,mett
mewana,mewa
mewing cat,mewing
mewn,mewn
mewtwo,mewtwo
michael jackson,$heehee
mickeywifhat,mwh
microsoft xp error,dontsend
mikal jordan,jordan
mike tython,$thavage
milady,milady
million dollar cat,mdc
minecat,minecat
missor,$miss
moargun slaveman,slave
mochi bog brother,mbb
modern dog,moderndog
mog coin,mog
monkey,monkey
monkeybucks,mbs
monkeyindiannigerianteenagers,mint
moon rocke ttoken,mrt
moonbuck$,moon$
mooncat,🌕😺
moonrover,mrov
moose money,moose 
morecoffee☕️,brzzd
mork zockurbar,morkzuck
mortywifprotein,protein
moshi,moshi
moutai,moutai
movai,mvai
mr. bean,bean
mumu the bull,mumu
murk zuckkurborg,facebook
my mom,mom
myro,$myro
nancy pumps,nancypumps
need4sol,needsol
neko,neko
nftmonkenyscoin,nftmc
nigga,nigga
nigga coin,nigcoin
nigga trump,trigga
ninja,ninja
nkoda,nkoda
noot,noot
nouns,nouns
nafuloo,nafu
nala,nala
napoleon,napoleon
natethegreat,ntgx
negurian prenc,spam
neko on sol,neko
neosafari,nsaf
neon evm token,neon
neuralink,nrlk
nigga butt token,niggabutt
nigga wif hat,nif
no diddy,nodiddy
nobiko coin,long
nomcat,nomcat
nonecoin,none
nosana,nos
nubfrog,nubfrog
nuba cat,nuba
nyan cat,nyan
ogee sompson,ogee
oh yeah yeah,yeah
oj's glove,glove
orange trump,maga
orcawif,orwf
owl wifhat,owlwif
owls,owls
ozempic,ozmpc
obema tremp,$brump
obsessive coin disorder,ocd
octokn,otk
oh duck ,ohduck
ohyeahyeah,yeah
omnicat (wormhole),omni
onepixel,pxl
only possible on solana,opos
only1 (like),like
ooops...,err0r
orang,orang
orange pepe bad,opb
orbitt pro (sol),orbt
orbitt pro (wormhole),orbt
orbitt token,orbt
orca,orca
osama bin bombin,bomb
overlyattached cat,ocat
oxygen protocol,oxy
ozacoin,oza
pablo the race cat,pablo
pai (parrot usd),pai
pat,pat
pdt,pdt
pebble,pble
peg,peg
pelfort,$pelf
pepa,pepa
pepe long,pepelong
pepe the gastronaut,pepetheg
pepesex,pepesex
pepy,pepy
piggy,🐷piggy
pirate cat,pc
pitbull dog,pitbull
playworld,playworld
plerf,plerf
poepoe,poepoe
pollo,pollo
ponke,ponke
poop nation ,poopntn
popo,popo
poppy,poppy
potato,potato
powsche,powsche
princess of the nile,tarella
prison,sbfprison
pugai,pugai
pundu,pundu
puwdiepiw,puwdiepiw
paccoin,pac
panda coin,panda
panda swap,panda
pande,pande
panzer liquidity locker,panzer
partywifpuff,pwif
patrick bateman,sigma
paypaw,paw
pee-diddy ,diddy
peng,peng
penguin,🐧
pengy,pengy
pep cat,pepcat
pepe,pepe
pepe 2.0,pepe2.0
pepe is money printer,pimp
pepe pikachu,pekachu
pepe the rasta,$rasta
pepe in a world of dogs,pepew
pepe on the cross,pepechrist
pepefork,pork
pepenigga,pepenigga
pepetraumaticsolanadisorder,ptsd
pepev2,pepev2
pepev2.0,pepev2
pepperoni prophecies,pizza
pepsi,pepsi
pepsla,pepsla
perpeh the frog,$perpeh
pesky paul,paul
pete the cat,pete
pfizer,pfizer
phoenixnet,phnx
pig cat,pc
pigeon in yellow boots,pigeon
pika wif hat,pwh
pikacat ,pikacat
pink cougar,pinkcougar
pinkpanther,panther
pixar lamp,pixar
pixel by pixel,pbp
pixelknight,pxkn
pixelpaws,pxpaw
pixelpotion,pxlptn
pixelpunk,pxlnk
pixelpup,pxlp
plankton,plank
playboywifhat,pwif
pleb,pleb
polite cat,pcat
pondo,pondo
pong,pong
ponk,ponk
popdog,popdog
popcat,popcat
popfrog,popfrog
"popo, pepe's dog",$popo
poseidon's kiss,pos
post traumatic solana disorder,ptsd
powerfulmeme,memeking
prinsus diedanna,dianna
project seed token,shill
publix,publix
pump it up,pump
pumpfuntoken,pumpfun
punkai,punkai
pupu on sol,pupu
purrito,purrito
purrminated,termicat
pusheen,pusheen
pussy in bio,pussyinbio
pyth network,pyth
qinaro inu,qinaro
quantumflip,qflp
queen bonk,queenbonk
queen cat,$queencat
quickrpc,quick
quokkacoin,quokka
redlon musk,tesla
retardio,retardio
rex,rex
redao,$re
roflmao,roflmao
roost,roost
ropium,ropium
royal,royal
rugpull,rugpull
rabcat,$rabcat 
rastapepe,$rastap
ratchet,ratchet
ratsinmc,ratsin
raydium,ray
real smurf cat-шайлушай,smurf
realitybites,jhg65
reburt downey junier,reburt
red green blue,rgb
remilio,remilio
render token,render
rescue,rescue
retire,retire
rexwifhat,rexwif
rice wif hat on solana,rwh
rich pepe,prich
riedog,rie
rizz,rizz
rocket cat,rcat
rocky,rocky
rollbit coin,rlb
roost on sol,roost
rosewifhat,rwif
rubik's cube,cube
rudywifhat,rif
runescape gp,runescape
ryun garzia,ryun
sad hamster,hammy
safu,safu
sam bankman fried,sbf 
sam bonkmon frod,sbf
sbf,sbf
sbf 20 years,sbf2044
sbf in jail,sbf
sbfwifhat,sbfwifhat
scared cat,scared
scoin,scoin
scrooge mcduck,smcduck
sdydmey swoney,swoney
shad token,shad
sherkcet,sherkcet
shiba inu,shib
shiba inu (wormhole),shib
shibonk,sbonk
shit,shit
shitchat,shitchat
shiva inu,shiv
sholana the koala,shol
shrkok,shrok
shurk,shurk
side eye cat,sec
sideways boi,sidewayboi
sin city,sinr
sin city sinr,sinr
slerf,slerf
slerf finance,slerfi
slerf2.0,slerf
slick im,slick
slothana,slothana
slump,slump
smol,smol
smole,smole
smole20,smole20
smurfs army,smurf
snap,$nap
softy,softy
sogi,sogi
sol babay doge coin,sbabydoge
sol jupiter,soljup
sol on-chain ai,chain
sol on-open ai,openai
solamamm,solamamm
solamb,solamb
solbara,bara
solbird,solbird
solbrett,solbrett
soldoge,soldoge
soldout,soldout
solephant,solly
solephant ,solephant 
solgoat,solgoat
solnav ai,nav
solpeng,solpeng
solpepe,solpepe
solshib,shib
solsecure,secure
somsung,som
splitz dog,splitz
spoof,spf
spreads ai,spread
stash inu,stash
stuve minecruft,stuve
styfee solking,styfee
sukablyat,blyat
summer turt,sturt
saber protocol token,sbr
sacrifice,burn
safelana,safelana 
sageturtle,strtl
sam bankman wif hat,sbf
sambonkmanfraud,bokman
samwifjail,jail
samoyed coin,samo
samwifsoap,soap
sands,sand
satoshi marley,smarley
satoshi nakamoto's cat,cipher
schrödinger,dinger
scorpion,🦂
sem atlman,sem
sem eltmun,chatgpt
shadow token,shdw
shadow wizard money gang,nuke
shark cat,sc
shecansaveme,flecca
shell-games,shell
shepe,shepe
shiba inu diamond hands,sidh
shiba inu on solana,shibsol
shibazilla,shibazilla
shibasso,shibasso
shinobi ,ninja
shroom,shroom
side eyeing chloe,chloe
sigma node,sigma
sikabola,sikaai
silly dragon,silly
silly goose,goo
simon's cat,simcat
sinbad inu,sinbad
sleepless smartai peacock,🦚ssap
sleepvsalarm,smh1
slog,slog
sloth on speed,speed
slow protocol,slow
smelly cat,smelly
smerf on solona,smerf
smog,smog
smol cat,smolcat
smol sol,smol
smudge the cat,smudge
snail,🐌
sneeeeeeks,snek
social credit token,ccp
soggscoin,$soggs
sokoke cat,$sokoke
sol cash,solc
sol journey,solj
sol trade,trade
sol x,solx
sol y swap,soly
solape token,solape
solbox,box
solbuy,buy
solcage,solcage
solcard,solc
solchart,chart
solcloud,cloud
solcult,cult
soldate,soldate
soldev,soldev
solfood,solfood
solgpt,gpt
solgen,gen
solgirls,solgirls
solgraph,graph
solllama,llama
solmail,mail
solmint,solmint
solmusic,solmusic
solpanda,bamboo
solread,$read
solshield,shield
solshop,shop
solsnap,snap
solspend,spend
solswipe,swipe
soltv,soltv
solteer,teer
soltracker,tracker
solvine,solvine
solwired,solwired
solwrite ,solwr
solama,solama
solami,solami
solana arcade,solcade
solana cat,scat
solana coin 2.0,sc20
solana coin 20,sc20
solana confessions,solcon
solana deployer boy,sold
solana ecosystem index,soli
solana inu,inu
solana meme,solmeme
solana off switch,off
solana police,solpolice
solana pool,8ball
solana rhodes,solana
solana shop,solshop
solanax,solx
solanacorn,corn
solanium,slim
solar swap,solar
solbook,book
solcasino,solcasino
solcasino token,scs
solcata,solcata
solchat,chat
solcial token,slcl
solend,slnd
solgram,gram
soli-fi,sfi
soll-e,soll-e
solmedia,media
solnames,solnames
solnic trading bot,stb
solomon,solo
solordi,$solo
solpaka,solpaka
solsend,send
solstream,stream
solter white,solter
som bankmine freed,sbf
som bonkmon,sbf
som bonkmon fraud,sbf
sombonkmonfed,sbfed
sonic on solana ,sonic 
soul,soul
soylanamanletcaptainz,ansem
space falcon,fcon
spider,🕷
spider-cat,scat
spidercat,spidey
spurdo spärde,spurdo
standardz & poorz memecoin 500,snp
stanley cup coin,stan
star atlas,atlas
star atlas dao,polis
staven hawkens,hawkens
stellar donuts,sdon
step,step
stick to crypto,stikt
stickwifdick,swd
stickman on sol,stickman
studythedogwifhat,std
studynow.crylater.,cram
stuve jobz,appol
success kid,skid 
sultana,sul
sunnycoin,☀️💲
super cat,supercat
super panda,superpanda
sweet cat,scat
swhale,swhale
sydney sweeney,milk
synesisone,sns
sypool,syp
t-rex,rex
tane,tane
taolie coin,taolie
temple,temple
the crypto bible,blibe
thol,thol
timmi,timmi
tits,tits
toaster,toaster
tomwifhat,tom
top g,venom
top t,trump
towel,towel
treasurecoin,treasu
tren,tren
trial,trial
trump media,$trump
trump pump,$trump
tswp,tswp
tswp ai,tswp
tshirt on solana,tshirt
tuzla,tuzla
twtr,twtr
tyrionlannister,tyl
taliban wif hat,taliban
taut bot,taut
taylor swift's cat,benji
teektoke,toke
teh pyrate bey,loot
teh weit hoes,twh
teletools,tool
telefonente,nente
temple pharmacy,temple
temu,temu
teng cat,teng
thatfacewhen...,tikme
thavageonsol,thavage
the cash cow,moomoo
the cat of missing out,$como
the diddler,diddlr
the doge nft (wormhole),dog
the earth is flat!,flat
the first youtube cat,pajamas
the holy cat,thc
the lost,lost
the pepsons,peps
the red pill,redpill
the simpsons,donuts
the singularity welcoming party,tswp
the solcial app,solcial
the fastest things on earth,$tftoe
thecatinthehat,$cathat
this is how i win,gem
tholana,thol
thomas,dank
thunder bot,thor
timber,timber
tiny elon token,tinyelon
toad,toad
tom coin,tom
tom the cat,tom
tombili the fat cat,fatcat
tommy vercetti,tommy
tonk inu,tonk
top meme,tmeme
towelie,towelie
towitch,$toch
tradfi bro,cfa
tramp fan,trampf
travel with sol,soltravel
tremp thru khole,khremp
treple ech,hhh
tribe treasure,trb
trump ass,trump ass
trump election,trumpe
trump hair,trump hair
trump wahaha,trumppp
trumpet45,trumpet45
trumpfootball,trumpball
trumphands,trumphands
trumplink,$trump
trumppapa,trumppapa
trumpsuper,trumpsuper
trumpsusu,trumpsusu
trumpup,trumpup
trumpito,pito
trumpwifhat,trump
tulip,tulip
tuny stork,storkindus
twotalkingcats,twocat
tyro,tyro
ucit,ucit
ugly nigga,uglynig
usd coin,usdc
usd coin (wormhole),usdc
usdh hubble stablecoin,usdh
usdt,usdt
uxd stablecoin,uxd
ultimate fighting cats,ufc
uncle sam,sam
unicat,unicat
unknown,unknown
upsidedowncat,usdc
vampirina,vampirina
venom,venom
vvinyl,vvnl
vibing cat,vcat
vin diesel,family
vitalik rewards solana,vrsol
walli,walli
war of meme,wome
wc token,wc
wd-40,wd40
wen moon?,moon
wen smit,smit
wenup,wenup
whaly,whaly
white people,white
why so hyped?,wsh
wifretardio,wifr
wiftrump,tromp
wiper,wiper
without nose,nonose
wojacks,woj
woofenomics,woof
wow,wow
wss,wss
wulf,wulf
wuren bluefet,berkshire
wut,wut
wagecuck,wagie
wagmi,wagmi
walken,wlkn
wall street baby,wsb
wall street bets,wsb
watchmefail,failr
waverider,wave
weird cat ,blink
wen,wen
wen dog,den
werhebbeneenserieusprobleem,wer
west coast dog,snoop dogg
whales club,whc
whales market,whales
whalex,whx
what in tarnation?,wit
what’s updog?,updog
whenmonday,mondy
white solana,white
white tramp t,wtramp
white nigga,wigga
why so bullish,wsb
windows 93,win93
windows 93',win
